Territorios;Municipios;Total - 2019
Municipio;ARCOS DE VALDEVEZ;17670
Municipio;CAMINHA;14326
Municipio;MELGACO;7657
Municipio;MONCAO;13645
Municipio;PAREDES DE COURA;6212
Municipio;PONTE DA BARCA;8218
Municipio;PONTE DE LIMA;22772
Municipio;VALENCA;8327
Municipio;VIANA DO CASTELO;48974
Municipio;VILA NOVA DE CERVEIRA;6305
Municipio;AMARES;9919
Municipio;BARCELOS;49035
Municipio;BRAGA;87787
Municipio;ESPOSENDE;21561
Municipio;TERRAS DE BOURO;4902
Municipio;VILA VERDE;23822
Municipio;CABECEIRAS DE BASTO;9726
Municipio;FAFE;26080
Municipio;GUIMARAES;68694
Municipio;MONDIM DE BASTO;4634
Municipio;POVOA DE LANHOSO;11978
Municipio;VIEIRA DO MINHO;8161
Municipio;VILA NOVA DE FAMALICAO;57012
Municipio;VIZELA;9401
Municipio;AROUCA;11070
Municipio;ESPINHO;16025
Municipio;GONDOMAR;74163
Municipio;MAIA;60355
Municipio;MATOSINHOS;83095
Municipio;OLIVEIRA DE AZEMEIS;30406
Municipio;PAREDES;35366
Municipio;PORTO;139253
Municipio;POVOA DE VARZIM;35836
Municipio;SANTA MARIA DA FEIRA;61929
Municipio;SANTO TIRSO;30224
Municipio;SAO JOAO DA MADEIRA;10596
Municipio;TROFA;15892
Municipio;VALE DE CAMBRA;11997
Municipio;VALONGO;40984
Municipio;VILA DO CONDE;38621
Municipio;VILA NOVA DE GAIA;144078
Municipio;BOTICAS;4670
Municipio;CHAVES;28616
Municipio;MONTALEGRE;10644
Municipio;RIBEIRA DE PENA;4991
Municipio;VALPACOS;13480
Municipio;VILA POUCA DE AGUIAR;10171
Municipio;AMARANTE;28995
Municipio;BAIAO;11806
Municipio;CASTELO DE PAIVA;7688
Municipio;CELORICO DE BASTO;11022
Municipio;CINFAES;11786
Municipio;FELGUEIRAS;24745
Municipio;LOUSADA;19413
Municipio;MARCO DE CANAVESES;24848
Municipio;PACOS DE FERREIRA;21869
Municipio;PENAFIEL;31197
Municipio;RESENDE;7552
Municipio;ALIJO;8616
Municipio;ARMAMAR;5037
Municipio;CARRAZEDA DE ANSIAES;5363
Municipio;FREIXO DE ESPADA A CINTA;3172
Municipio;LAMEGO;16894
Municipio;MESAO FRIO;2409
Municipio;MOIMENTA DA BEIRA;8064
Municipio;MURCA;4183
Municipio;PENEDONO;2670
Municipio;PESO DA REGUA;9368
Municipio;SABROSA;4698
Municipio;SANTA MARTA DE PENAGUIAO;4686
Municipio;SAO JOAO DA PESQUEIRA;5655
Municipio;SERNANCELHE;4552
Municipio;TABUACO;4463
Municipio;TAROUCA;7077
Municipio;TORRE DE MONCORVO;7365
Municipio;VILA NOVA DE FOZ COA;6531
Municipio;VILA REAL;30492
Municipio;ALFANDEGA DA FE;3915
Municipio;BRAGANCA;25325
Municipio;MACEDO DE CAVALEIROS;11881
Municipio;MIRANDA DO DOURO;5590
Municipio;MIRANDELA;15226
Municipio;MOGADOURO;7321
Municipio;VILA FLOR;5305
Municipio;VIMIOSO;4715
Municipio;VINHAIS;7074
Municipio;ALCOBACA;35369
Municipio;ALENQUER;23811
Municipio;ARRUDA DOS VINHOS;6873
Municipio;BOMBARRAL;8151
Municipio;CADAVAL;8891
Municipio;CALDAS DA RAINHA;31622
Municipio;LOURINHA;17504
Municipio;NAZARE;13537
Municipio;OBIDOS;9250
Municipio;PENICHE;21722
Municipio;SOBRAL DE MONTE AGRACO;5425
Municipio;TORRES VEDRAS;46042
Municipio;AGUEDA;23174
Municipio;ALBERGARIA-A-VELHA;12549
Municipio;ANADIA;15260
Municipio;AVEIRO;42135
Municipio;ESTARREJA;13162
Municipio;ILHAVO;22433
Municipio;MURTOSA;7786
Municipio;OLIVEIRA DO BAIRRO;11533
Municipio;OVAR;28327
Municipio;SEVER DO VOUGA;7172
Municipio;VAGOS;13136
Municipio;ARGANIL;11024
Municipio;CANTANHEDE;21193
Municipio;COIMBRA;81231
Municipio;CONDEIXA-A-NOVA;8677
Municipio;FIGUEIRA DA FOZ;44038
Municipio;GOIS;5202
Municipio;LOUSA;10715
Municipio;MEALHADA;10367
Municipio;MIRA;8875
Municipio;MIRANDA DO CORVO;7508
Municipio;MONTEMOR-O-VELHO;13504
Municipio;MORTAGUA;6139
Municipio;OLIVEIRA DO HOSPITAL;13879
Municipio;PAMPILHOSA DA SERRA;5689
Municipio;PENACOVA;8498
Municipio;PENELA;4798
Municipio;SOURE;11840
Municipio;TABUA;8787
Municipio;VILA NOVA DE POIARES;4601
Municipio;ALVAIAZERE;5761
Municipio;ANSIAO;8601
Municipio;BATALHA;8594
Municipio;CASTANHEIRA DE PERA;2735
Municipio;FIGUEIRO DOS VINHOS;4899
Municipio;LEIRIA;68925
Municipio;MARINHA GRANDE;22294
Municipio;PEDROGAO GRANDE;3710
Municipio;POMBAL;34951
Municipio;PORTO DE MOS;13208
Municipio;AGUIAR DA BEIRA;4979
Municipio;CARREGAL DO SAL;6763
Municipio;CASTRO DAIRE;12795
Municipio;MANGUALDE;13320
Municipio;NELAS;8902
Municipio;OLIVEIRA DE FRADES;5838
Municipio;PENALVA DO CASTELO;5555
Municipio;SANTA COMBA DAO;7192
Municipio;SAO PEDRO DO SUL;11739
Municipio;SATAO;9476
Municipio;TONDELA;17948
Municipio;VILA NOVA DE PAIVA;4503
Municipio;VISEU;56529
Municipio;VOUZELA;6808
Municipio;CASTELO BRANCO;38948
Municipio;IDANHA-A-NOVA;11935
Municipio;OLEIROS;5013
Municipio;PENAMACOR;6553
Municipio;PROENCA-A-NOVA;6351
Municipio;VILA VELHA DE RODAO;3447
Municipio;ABRANTES;25696
Municipio;ALCANENA;8138
Municipio;CONSTANCIA;2192
Municipio;ENTRONCAMENTO;10938
Municipio;FERREIRA DO ZEZERE;7603
Municipio;MACAO;7070
Municipio;OUREM;29739
Municipio;SARDOAL;3023
Municipio;SERTA;12176
Municipio;TOMAR;26448
Municipio;TORRES NOVAS;21166
Municipio;VILA DE REI;3005
Municipio;VILA NOVA DA BARQUINHA;4228
Municipio;ALMEIDA;6693
Municipio;BELMONTE;4976
Municipio;CELORICO DA BEIRA;6332
Municipio;COVILHA;35652
Municipio;FIGUEIRA DE CASTELO RODRIGO;5451
Municipio;FORNOS DE ALGODRES;4088
Municipio;FUNDAO;22344
Municipio;GOUVEIA;11343
Municipio;GUARDA;27903
Municipio;MANTEIGAS;2611
Municipio;MEDA;5003
Municipio;PINHEL;8239
Municipio;SABUGAL;15398
Municipio;SEIA;17829
Municipio;TRANCOSO;8455
Municipio;ALCOCHETE;9113
Municipio;ALMADA;102258
Municipio;AMADORA;88220
Municipio;BARREIRO;42127
Municipio;CASCAIS;110013
Municipio;LISBOA;323915
Municipio;LOURES;100541
Municipio;MAFRA;44318
Municipio;MOITA;34811
Municipio;MONTIJO;27555
Municipio;ODIVELAS;71816
Municipio;OEIRAS;86668
Municipio;PALMELA;33794
Municipio;SEIXAL;81575
Municipio;SESIMBRA;32349
Municipio;SETUBAL;63749
Municipio;SINTRA;184010
Municipio;VILA FRANCA DE XIRA;65374
Municipio;ALCACER DO SAL;8919
Municipio;GRANDOLA;12425
Municipio;ODEMIRA;21086
Municipio;SANTIAGO DO CACEM;18696
Municipio;SINES;8606
Municipio;ALJUSTREL;5883
Municipio;ALMODOVAR;5516
Municipio;ALVITO;1737
Municipio;BARRANCOS;1297
Municipio;BEJA;20301
Municipio;CASTRO VERDE;4931
Municipio;CUBA;3068
Municipio;FERREIRA DO ALENTEJO;5225
Municipio;MERTOLA;8616
Municipio;MOURA;10634
Municipio;OURIQUE;4221
Municipio;SERPA;10385
Municipio;VIDIGUEIRA;3870
Municipio;ALMEIRIM;12376
Municipio;ALPIARCA;4090
Municipio;AZAMBUJA;12111
Municipio;BENAVENTE;14847
Municipio;CARTAXO;13565
Municipio;CHAMUSCA;6251
Municipio;CORUCHE;12730
Municipio;GOLEGA;3145
Municipio;RIO MAIOR;12679
Municipio;SALVATERRA DE MAGOS;11999
Municipio;SANTAREM;35483
Municipio;ALTER DO CHAO;3056
Municipio;ARRONCHES;2565
Municipio;AVIS;3680
Municipio;CAMPO MAIOR;4771
Municipio;CASTELO DE VIDE;2899
Municipio;CRATO;3271
Municipio;ELVAS;13488
Municipio;FRONTEIRA;2606
Municipio;GAVIAO;3619
Municipio;MARVAO;2984
Municipio;MONFORTE;2347
Municipio;NISA;7370
Municipio;PONTE DE SOR;10422
Municipio;PORTALEGRE;14819
Municipio;SOUSEL;3774
Municipio;ALANDROAL;4532
Municipio;ARRAIOLOS;4799
Municipio;BORBA;4225
Municipio;ESTREMOZ;9507
Municipio;EVORA;29853
Municipio;MONTEMOR-O-NOVO;10359
Municipio;MORA;3911
Municipio;MOURAO;1935
Municipio;PORTEL;4290
Municipio;REDONDO;4640
Municipio;REGUENGOS DE MONSARAZ;6486
Municipio;VENDAS NOVAS;6499
Municipio;VIANA DO ALENTEJO;3587
Municipio;VILA VICOSA;4806
Municipio;ALBUFEIRA;43371
Municipio;ALCOUTIM;3528
Municipio;ALJEZUR;6002
Municipio;CASTRO MARIM;8500
Municipio;FARO;38125
Municipio;LAGOA;19836
Municipio;LAGOS;27829
Municipio;LOULE;66467
Municipio;MONCHIQUE;4607
Municipio;OLHAO;26655
Municipio;PORTIMAO;47650
Municipio;SAO BRAS DE ALPORTEL;6770
Municipio;SILVES;32949
Municipio;TAVIRA;25857
Municipio;VILA DO BISPO;6131
Municipio;VILA REAL DE SANTO ANTONIO;20794
Municipio;VILA DO PORTO;3659
Municipio;LAGOA [R.A.A.];5249
Municipio;NORDESTE;2754
Municipio;PONTA DELGADA;29207
Municipio;POVOACAO;3669
Municipio;RIBEIRA GRANDE;11705
Municipio;VILA FRANCA DO CAMPO;4254
Municipio;ANGRA DO HEROISMO;15309
Municipio;VILA DA PRAIA DA VITORIA;9754
Municipio;SANTA CRUZ DA GRACIOSA;2879
Municipio;CALHETA [R.A.A.];2404
Municipio;VELAS;3163
Municipio;LAJES DO PICO;3252
Municipio;MADALENA;3371
Municipio;SAO ROQUE DO PICO;2341
Municipio;HORTA;7168
Municipio;LAJES DAS FLORES;1018
Municipio;SANTA CRUZ DAS FLORES;1165
Municipio;CORVO;193
Municipio;CALHETA [R.A.M.];7498
Municipio;CAMARA DE LOBOS;13554
Municipio;FUNCHAL;52922
Municipio;MACHICO;9947
Municipio;PONTA DO SOL;4812
Municipio;PORTO MONIZ;1960
Municipio;RIBEIRA BRAVA;6896
Municipio;SANTA CRUZ;20443
Municipio;SANTANA;4893
Municipio;SAO VICENTE;4016
Municipio;PORTO SANTO;4542
