Dicofre,Freguesia,Concelho,Distrito,Latitude,Longitude
80506,Montenegro,FARO,FARO,14505.2408,-293486.55
81504,Sagres,VILA DO BISPO,FARO,14505.2408,-293486.55
80106,Albufeira e Olhos de Agua,ALBUFEIRA,FARO,-74757.208,-289022.68
81004,Pechao,OLHAO,FARO,-13972.411,-288135.34
80708,Sao Goncalo de Lagos,LAGOS,FARO,-11962.917,-287457.85
81003,Olhao,OLHAO,FARO,-76435.264,-292512.16
80508,Faro (Se e Sao Pedro),FARO,FARO,-75065.12,-289389.64
81005,Quelfes,OLHAO,FARO,-47445.649,-287164.31
80703,Luz,LAGOS,FARO,-8742.3501,-286965.15
80608,Lagoa e Carvoeiro,LAGOA,FARO,-47428.347,-286518.69
80604,Porches,LAGOA,FARO,-47615.899,-286103.39
20208,Aldeia dos Fernandes,ALMODOVAR,BEJA,-47548.799,-285153.75
20903,Espirito Santo,MERTOLA,BEJA,-4943.169,-232963.74
20203,Rosario,ALMODOVAR,BEJA,43919.2134,-234903.93
21121,Sao Teotonio,ODEMIRA,BEJA,4474.70857,-230178.13
21115,Luzianes-Gare,ODEMIRA,BEJA,-49932.505,-241443.44
"20910,""Sao Miguel do Pinheiro, Sao Pedro de Solis e Sao Sebastiao dos Carros"",MERTOLA,BEJA,-32388.345,-231370.1"
20604,Santa Barbara de Padroes,CASTRO VERDE,BEJA,27353.6754,-237321.3
21120,Sao Salvador e Santa Maria,ODEMIRA,BEJA,15097.0276,-227919.7
20906,Sao Joao dos Caldeireiros,MERTOLA,BEJA,-41631.135,-227851.93
21107,Sao Martinho das Amoreiras,ODEMIRA,BEJA,28820.4752,-226152.11
21117,Longueira/Almograve,ODEMIRA,BEJA,-22924.243,-226151.71
21203,Ourique,OURIQUE,BEJA,-55031.993,-223670.62
21102,Reliquias,ODEMIRA,BEJA,-9832.0357,-224596.74
21207,Garvao e Santa Luzia,OURIQUE,BEJA,-35257.105,-219032.39
21106,Sao Luis,ODEMIRA,BEJA,-20855.946,-216471.97
20902,Corte do Pinto,MERTOLA,BEJA,-47322.091,-218732.23
20905,Santana de Cambas,MERTOLA,BEJA,57525.0835,-216812.36
20605,Sao Marcos da Ataboeira,CASTRO VERDE,BEJA,52474.7947,-223968.78
