ID_Data;Dia;Mês;dia_da_semana;ano
01/05/2021;1;5;Saturday;2021
02/05/2021;2;5;Sunday;2021
03/05/2021;3;5;Monday;2021
04/05/2021;4;5;Tuesday;2021
05/05/2021;5;5;Wednesday;2021
06/05/2021;6;5;Thursday;2021
07/05/2021;7;5;Friday;2021
08/05/2021;8;5;Saturday;2021
09/05/2021;9;5;Sunday;2021
10/05/2021;10;5;Monday;2021
11/05/2021;11;5;Tuesday;2021
12/05/2021;12;5;Wednesday;2021
13/05/2021;13;5;Thursday;2021
14/05/2021;14;5;Friday;2021
15/05/2021;15;5;Saturday;2021
16/05/2021;16;5;Sunday;2021
17/05/2021;17;5;Monday;2021
18/05/2021;18;5;Tuesday;2021
19/05/2021;19;5;Wednesday;2021
20/05/2021;20;5;Thursday;2021
21/05/2021;21;5;Friday;2021
22/05/2021;22;5;Saturday;2021
23/05/2021;23;5;Sunday;2021
24/05/2021;24;5;Monday;2021
25/05/2021;25;5;Tuesday;2021
26/05/2021;26;5;Wednesday;2021
27/05/2021;27;5;Thursday;2021
28/05/2021;28;5;Friday;2021
29/05/2021;29;5;Saturday;2021
30/05/2021;30;5;Sunday;2021
31/05/2021;31;5;Monday;2021
01/06/2021;1;6;Tuesday;2021
02/06/2021;2;6;Wednesday;2021
03/06/2021;3;6;Thursday;2021
04/06/2021;4;6;Friday;2021
05/06/2021;5;6;Saturday;2021
06/06/2021;6;6;Sunday;2021
07/06/2021;7;6;Monday;2021
08/06/2021;8;6;Tuesday;2021
09/06/2021;9;6;Wednesday;2021
10/06/2021;10;6;Thursday;2021
11/06/2021;11;6;Friday;2021
12/06/2021;12;6;Saturday;2021
13/06/2021;13;6;Sunday;2021
14/06/2021;14;6;Monday;2021
15/06/2021;15;6;Tuesday;2021
16/06/2021;16;6;Wednesday;2021
17/06/2021;17;6;Thursday;2021
18/06/2021;18;6;Friday;2021
19/06/2021;19;6;Saturday;2021
20/06/2021;20;6;Sunday;2021
21/06/2021;21;6;Monday;2021
22/06/2021;22;6;Tuesday;2021
23/06/2021;23;6;Wednesday;2021
24/06/2021;24;6;Thursday;2021
25/06/2021;25;6;Friday;2021
26/06/2021;26;6;Saturday;2021
27/06/2021;27;6;Sunday;2021
28/06/2021;28;6;Monday;2021
29/06/2021;29;6;Tuesday;2021
30/06/2021;30;6;Wednesday;2021
01/07/2021;1;7;Thursday;2021
02/07/2021;2;7;Friday;2021
03/07/2021;3;7;Saturday;2021
04/07/2021;4;7;Sunday;2021
05/07/2021;5;7;Monday;2021
06/07/2021;6;7;Tuesday;2021
07/07/2021;7;7;Wednesday;2021
08/07/2021;8;7;Thursday;2021
