FeatureID;Descricao
F1;Negociavel
F2;Varanda
F3;Ar Condicionado
F4;Aspiracao Central
F5;Vista de Campo/Serra
F6;Lareira
F7;Recuperacao de Calor
F8;Suite
F9;Despensa
F10;Garagem (box)
F11;Arrecadacao
F12;Vista de Mar
F13;Vista de Rio
F14;Cozinha Equipada
F15;Aquecimento Central
F16;Mobilado
F17;Estacionamento
F18;Condominio Fechado
F19;Gas Canalizado
F20;Piscina
F21;Box
F22;Elevador
F23;Kitchenette
F24;Marquise
F25;Parqueamento
F26;Piso Radiante
F27;Terraco
F28;Vista de Lago
F29;Caldeira
F30;Sem Caracteristicas Identificadas
