Group Features ID;Value
F2F3F11F12F17F18F27;F2
F2F3F11F12F17F18F27;F3
F2F3F11F12F17F18F27;F11
F2F3F11F12F17F18F27;F12
F2F3F11F12F17F18F27;F17
F2F3F11F12F17F18F27;F18
F2F3F11F12F17F18F27;F27
F9F11F19F23F27;F9
F9F11F19F23F27;F11
F9F11F19F23F27;F19
F9F11F19F23F27;F23
F9F11F19F23F27;F27
F5F10F19;F5
F5F10F19;F10
F5F10F19;F19
F2F6F14F19F22;F2
F2F6F14F19F22;F6
F2F6F14F19F22;F14
F2F6F14F19F22;F19
F2F6F14F19F22;F22
F2F4F6F7F10F14F19F22;F2
F2F4F6F7F10F14F19F22;F4
F2F4F6F7F10F14F19F22;F6
F2F4F6F7F10F14F19F22;F7
F2F4F6F7F10F14F19F22;F10
F2F4F6F7F10F14F19F22;F14
F2F4F6F7F10F14F19F22;F19
F2F4F6F7F10F14F19F22;F22
F2F4F6F7F10F11F14F19F22;F2
F2F4F6F7F10F11F14F19F22;F4
F2F4F6F7F10F11F14F19F22;F6
F2F4F6F7F10F11F14F19F22;F7
F2F4F6F7F10F11F14F19F22;F10
F2F4F6F7F10F11F14F19F22;F11
F2F4F6F7F10F11F14F19F22;F14
F2F4F6F7F10F11F14F19F22;F19
F2F4F6F7F10F11F14F19F22;F22
F2F3F4F6F7F10F19F20F22;F2
F2F3F4F6F7F10F19F20F22;F3
F2F3F4F6F7F10F19F20F22;F4
F2F3F4F6F7F10F19F20F22;F6
F2F3F4F6F7F10F19F20F22;F7
F2F3F4F6F7F10F19F20F22;F10
F2F3F4F6F7F10F19F20F22;F19
F2F3F4F6F7F10F19F20F22;F20
F2F3F4F6F7F10F19F20F22;F22
F2F5F8F9F10F11F15F17F27F29;F2
F2F5F8F9F10F11F15F17F27F29;F5
F2F5F8F9F10F11F15F17F27F29;F8
F2F5F8F9F10F11F15F17F27F29;F9
F2F5F8F9F10F11F15F17F27F29;F10
F2F5F8F9F10F11F15F17F27F29;F11
F2F5F8F9F10F11F15F17F27F29;F15
F2F5F8F9F10F11F15F17F27F29;F17
F2F5F8F9F10F11F15F17F27F29;F27
F2F5F8F9F10F11F15F17F27F29;F29
F2F3F8F14F18F19F20F21F22;F2
F2F3F8F14F18F19F20F21F22;F3
F2F3F8F14F18F19F20F21F22;F8
F2F3F8F14F18F19F20F21F22;F14
F2F3F8F14F18F19F20F21F22;F18
F2F3F8F14F18F19F20F21F22;F19
F2F3F8F14F18F19F20F21F22;F20
F2F3F8F14F18F19F20F21F22;F21
F2F3F8F14F18F19F20F21F22;F22
F2F3F8F10F14F17F18F19F20F21F22;F2
F2F3F8F10F14F17F18F19F20F21F22;F3
F2F3F8F10F14F17F18F19F20F21F22;F8
F2F3F8F10F14F17F18F19F20F21F22;F10
F2F3F8F10F14F17F18F19F20F21F22;F14
F2F3F8F10F14F17F18F19F20F21F22;F17
F2F3F8F10F14F17F18F19F20F21F22;F18
F2F3F8F10F14F17F18F19F20F21F22;F19
F2F3F8F10F14F17F18F19F20F21F22;F20
F2F3F8F10F14F17F18F19F20F21F22;F21
F2F3F8F10F14F17F18F19F20F21F22;F22
F2F3F4F6F7F10F14F19F22;F2
F2F3F4F6F7F10F14F19F22;F3
F2F3F4F6F7F10F14F19F22;F4
F2F3F4F6F7F10F14F19F22;F6
F2F3F4F6F7F10F14F19F22;F7
F2F3F4F6F7F10F14F19F22;F10
F2F3F4F6F7F10F14F19F22;F14
F2F3F4F6F7F10F14F19F22;F19
F2F3F4F6F7F10F14F19F22;F22
F2F3F4F10F14F19F22;F2
F2F3F4F10F14F19F22;F3
F2F3F4F10F14F19F22;F4
F2F3F4F10F14F19F22;F10
F2F3F4F10F14F19F22;F14
F2F3F4F10F14F19F22;F19
F2F3F4F10F14F19F22;F22
F10;F10
F3F5F14F22F23;F3
F3F5F14F22F23;F5
F3F5F14F22F23;F14
F3F5F14F22F23;F22
F3F5F14F22F23;F23
F2F3F5F8F14F22F25;F2
F2F3F5F8F14F22F25;F3
F2F3F5F8F14F22F25;F5
F2F3F5F8F14F22F25;F8
F2F3F5F8F14F22F25;F14
F2F3F5F8F14F22F25;F22
F2F3F5F8F14F22F25;F25
F2F6F9F10F19F24;F2
F2F6F9F10F19F24;F6
F2F6F9F10F19F24;F9
F2F6F9F10F19F24;F10
F2F6F9F10F19F24;F19
F2F6F9F10F19F24;F24
F7F8F14F15F17F19F22F23;F7
F7F8F14F15F17F19F22F23;F8
F7F8F14F15F17F19F22F23;F14
F7F8F14F15F17F19F22F23;F15
F7F8F14F15F17F19F22F23;F17
F7F8F14F15F17F19F22F23;F19
F7F8F14F15F17F19F22F23;F22
F7F8F14F15F17F19F22F23;F23
F3F15F20;F3
F3F15F20;F15
F3F15F20;F20
F2F6F7F8F12F14F15F18F19F20F21F22F27;F2
F2F6F7F8F12F14F15F18F19F20F21F22F27;F6
F2F6F7F8F12F14F15F18F19F20F21F22F27;F7
F2F6F7F8F12F14F15F18F19F20F21F22F27;F8
