Group Features ID;Código Grupo
F1;Negociavel
F10;Garagem (box)
F10F11;Garagem (box)Arrecadacao
F10F11F12F22;Garagem (box)ArrecadacaoVista de MarElevador
F10F11F12F27;Garagem (box)ArrecadacaoVista de MarTerraco
F10F11F13;Garagem (box)ArrecadacaoVista de Rio
F10F11F13F15F19F22F27;Garagem (box)ArrecadacaoVista de RioAquecimento CentralGas CanalizadoElevadorTerraco
F10F11F13F22;Garagem (box)ArrecadacaoVista de RioElevador
F10F11F14F15F17F19F22;Garagem (box)ArrecadacaoCozinha EquipadaAquecimento CentralEstacionamentoGas CanalizadoElevador
F10F11F14F15F19F22;Garagem (box)ArrecadacaoCozinha EquipadaAquecimento CentralGas CanalizadoElevador
F10F11F14F16F17F19F22F27;Garagem (box)ArrecadacaoCozinha EquipadaMobiladoEstacionamentoGas CanalizadoElevadorTerraco
F10F11F14F16F17F22F23F27;Garagem (box)ArrecadacaoCozinha EquipadaMobiladoEstacionamentoElevadorKitchenetteTerraco
F10F11F14F17F19F20F22F26;Garagem (box)ArrecadacaoCozinha EquipadaEstacionamentoGas CanalizadoPiscinaElevadorPiso Radiante
F10F11F14F17F22;Garagem (box)ArrecadacaoCozinha EquipadaEstacionamentoElevador
F10F11F14F17F22F27;Garagem (box)ArrecadacaoCozinha EquipadaEstacionamentoElevadorTerraco
F10F11F14F19F22F26;Garagem (box)ArrecadacaoCozinha EquipadaGas CanalizadoElevadorPiso Radiante
F10F11F14F22;Garagem (box)ArrecadacaoCozinha EquipadaElevador
F10F11F14F22F23F26F29;Garagem (box)ArrecadacaoCozinha EquipadaElevadorKitchenettePiso RadianteCaldeira
F10F11F14F22F27F29;Garagem (box)ArrecadacaoCozinha EquipadaElevadorTerracoCaldeira
F10F11F15F22;Garagem (box)ArrecadacaoAquecimento CentralElevador
F10F11F16F20;Garagem (box)ArrecadacaoMobiladoPiscina
F10F11F16F22;Garagem (box)ArrecadacaoMobiladoElevador
F10F11F17;Garagem (box)ArrecadacaoEstacionamento
F10F11F17F20F22;Garagem (box)ArrecadacaoEstacionamentoPiscinaElevador
F10F11F17F22;Garagem (box)ArrecadacaoEstacionamentoElevador
F10F11F17F22F27;Garagem (box)ArrecadacaoEstacionamentoElevadorTerraco
F10F11F18;Garagem (box)ArrecadacaoCondominio Fechado
F10F11F18F20F22;Garagem (box)ArrecadacaoCondominio FechadoPiscinaElevador
F10F11F18F20F27;Garagem (box)ArrecadacaoCondominio FechadoPiscinaTerraco
F10F11F18F22F27;Garagem (box)ArrecadacaoCondominio FechadoElevadorTerraco
F10F11F19F22;Garagem (box)ArrecadacaoGas CanalizadoElevador
F10F11F20;Garagem (box)ArrecadacaoPiscina
F10F11F20F22;Garagem (box)ArrecadacaoPiscinaElevador
F10F11F20F27;Garagem (box)ArrecadacaoPiscinaTerraco
F10F11F22;Garagem (box)ArrecadacaoElevador
F10F11F22F27;Garagem (box)ArrecadacaoElevadorTerraco
F10F11F23F29;Garagem (box)ArrecadacaoKitchenetteCaldeira
F10F11F27;Garagem (box)ArrecadacaoTerraco
F10F12;Garagem (box)Vista de Mar
F10F12F13F14F17F21F22;Garagem (box)Vista de MarVista de RioCozinha EquipadaEstacionamentoBoxElevador
F10F12F13F15F22;Garagem (box)Vista de MarVista de RioAquecimento CentralElevador
F10F12F14F15F22F27F29;Garagem (box)Vista de MarCozinha EquipadaAquecimento CentralElevadorTerracoCaldeira
F10F12F14F22;Garagem (box)Vista de MarCozinha EquipadaElevador
F10F12F15F18F20F21F22;Garagem (box)Vista de MarAquecimento CentralCondominio FechadoPiscinaBoxElevador
F10F12F15F22;Garagem (box)Vista de MarAquecimento CentralElevador
F10F12F16F22;Garagem (box)Vista de MarMobiladoElevador
F10F12F16F24;Garagem (box)Vista de MarMobiladoMarquise
F10F12F18;Garagem (box)Vista de MarCondominio Fechado
F10F12F18F22;Garagem (box)Vista de MarCondominio FechadoElevador
F10F12F19F22;Garagem (box)Vista de MarGas CanalizadoElevador
F10F12F22;Garagem (box)Vista de MarElevador
F10F12F22F29;Garagem (box)Vista de MarElevadorCaldeira
F10F13F14F17F22;Garagem (box)Vista de RioCozinha EquipadaEstacionamentoElevador
F10F13F16F20F22;Garagem (box)Vista de RioMobiladoPiscinaElevador
F10F13F17F20F22F27;Garagem (box)Vista de RioEstacionamentoPiscinaElevadorTerraco
F10F13F19;Garagem (box)Vista de RioGas Canalizado
F10F13F20F22F27;Garagem (box)Vista de RioPiscinaElevadorTerraco
F10F13F21F22;Garagem (box)Vista de RioBoxElevador
F10F13F22;Garagem (box)Vista de RioElevador
F10F13F22F27;Garagem (box)Vista de RioElevadorTerraco
F10F13F27;Garagem (box)Vista de RioTerraco
F10F14;Garagem (box)Cozinha Equipada
F10F14F15F17F19F22F29;Garagem (box)Cozinha EquipadaAquecimento CentralEstacionamentoGas CanalizadoElevadorCaldeira
F10F14F15F18F19F24F27F29;Garagem (box)Cozinha EquipadaAquecimento CentralCondominio FechadoGas CanalizadoMarquiseTerracoCaldeira
F10F14F15F18F20F22;Garagem (box)Cozinha EquipadaAquecimento CentralCondominio FechadoPiscinaElevador
F10F14F15F18F20F22F27;Garagem (box)Cozinha EquipadaAquecimento CentralCondominio FechadoPiscinaElevadorTerraco
F10F14F15F19F22F27;Garagem (box)Cozinha EquipadaAquecimento CentralGas CanalizadoElevadorTerraco
F10F14F15F19F22F29;Garagem (box)Cozinha EquipadaAquecimento CentralGas CanalizadoElevadorCaldeira
F10F14F15F20F22;Garagem (box)Cozinha EquipadaAquecimento CentralPiscinaElevador
F10F14F15F21F22F29;Garagem (box)Cozinha EquipadaAquecimento CentralBoxElevadorCaldeira
F10F14F15F22F23F27;Garagem (box)Cozinha EquipadaAquecimento CentralElevadorKitchenetteTerraco
F10F14F16F17F21F22F25;Garagem (box)Cozinha EquipadaMobiladoEstacionamentoBoxElevadorParqueamento
F10F14F16F19F22;Garagem (box)Cozinha EquipadaMobiladoGas CanalizadoElevador
F10F14F17;Garagem (box)Cozinha EquipadaEstacionamento
F10F14F17F19;Garagem (box)Cozinha EquipadaEstacionamentoGas Canalizado
F10F14F17F21F22F25;Garagem (box)Cozinha EquipadaEstacionamentoBoxElevadorParqueamento
F10F14F17F22;Garagem (box)Cozinha EquipadaEstacionamentoElevador
F10F14F17F29;Garagem (box)Cozinha EquipadaEstacionamentoCaldeira
F10F14F18F20F22;Garagem (box)Cozinha EquipadaCondominio FechadoPiscinaElevador
F10F14F18F22;Garagem (box)Cozinha EquipadaCondominio FechadoElevador
F10F14F19F20F22;Garagem (box)Cozinha EquipadaGas CanalizadoPiscinaElevador
F10F14F20F22F27;Garagem (box)Cozinha EquipadaPiscinaElevadorTerraco
F10F14F22;Garagem (box)Cozinha EquipadaElevador
F10F14F22F23;Garagem (box)Cozinha EquipadaElevadorKitchenette
F10F14F22F27;Garagem (box)Cozinha EquipadaElevadorTerraco
