Ambito Geografico;Territorio;2015;2016;2017;2018;2019;2019 ajustado
Municipio;ARCOS DE VALDEVEZ;10726;,,,;11893;;;11893
Municipio;CAMINHA;7126;9504;9334;12195;;10765
Municipio;MELGACO;//;//;0;0;0;0
Municipio;MONCAO;15651;8341;9493;23432;22688;22688
Municipio;PAREDES DE COURA;46769;,,,;;;;
Municipio;PONTE DA BARCA;//;//;0;0;0;0
Municipio;PONTE DE LIMA;273224;383119;389635;137735;122838;122838
Municipio;VALENCA;6979;3926;;2953;;2953
Municipio;VIANA DO CASTELO;48659;63572;78366;59860;68106;68106
Municipio;VILA NOVA DE CERVEIRA;15011;15664;22985;18008;59300;59300
Municipio;AMARES;5830;22000;30100;1600;3400;3400
Municipio;BARCELOS;3100;1154;;1600;;1600
Municipio;BRAGA;1170024;1993005;2131346;2777603;1434243;1434243
Municipio;ESPOSENDE;55498;39022;54670;65419;;60045
Municipio;TERRAS DE BOURO;//;//;0;0;;0
Municipio;VILA VERDE;//;//;;0;0;0
Municipio;CABECEIRAS DE BASTO;,,,;//;0;0;0;0
Municipio;FAFE;,,,;,,,;;44416;13067;13067
Municipio;GUIMARAES;65278;85932;31466;97675;72764;72764
Municipio;MONDIM DE BASTO;0;,,,;;0;1500;1500
Municipio;POVOA DE LANHOSO;0;,,,;0;4193;1200;1200
Municipio;VIEIRA DO MINHO;//;//;0;0;0;0
Municipio;VILA NOVA DE FAMALICAO;210572;220338;396450;350001;506533;506533
Municipio;VIZELA;//;//;0;12500;11500;11500
Municipio;AROUCA;45250;48256;39934;35250;27275;27275
Municipio;ESPINHO;15788;16118;13172;28372;74093;74093
Municipio;GONDOMAR;13950;19986;24188;32051;12460;12460
Municipio;MAIA;22645;27205;16108;27298;42295;42295
Municipio;MATOSINHOS;180674;243681;251391;320043;295819;295819
Municipio;OLIVEIRA DE AZEMEIS;14299;,,,;11099;9828;4423;4423
Municipio;PAREDES;6310;4240;4961;3555;;4258
Municipio;PORTO;1813414;1822391;1602062;1564438;1899898;1899898
Municipio;POVOA DE VARZIM;13245;56884;156386;157791;199889;199889
Municipio;SANTA MARIA DA FEIRA;544105;561806;548091;529422;497092;497092
Municipio;SANTO TIRSO;30680;32420;20959;36622;;28791
Municipio;SAO JOAO DA MADEIRA;8668;9356;67792;95136;150114;150114
Municipio;TROFA;0;,,,;;;0;0
Municipio;VALE DE CAMBRA;792;,,,;;;730;730
Municipio;VALONGO;40530;46185;90546;115932;;103239
Municipio;VILA DO CONDE;4750;21417;17807;11334;13506;13506
Municipio;VILA NOVA DE GAIA;72390;64520;72168;104674;145436;145436
Municipio;BOTICAS;30650;21450;15750;24450;29100;29100
Municipio;CHAVES;36940;,,,;91455;38643;49756;49756
Municipio;MONTALEGRE;,,,;,,,;;;0;0
Municipio;RIBEIRA DE PENA;,,,;,,,;;;;
Municipio;VALPACOS;,,,;,,,;;;;
Municipio;VILA POUCA DE AGUIAR;6600;,,,;16440;15240;17080;17080
Municipio;AMARANTE;,,,;10918;17563;15970;10629;10629
Municipio;BAIAO;13880;150;;2450;;2450
Municipio;CASTELO DE PAIVA;//;//;0;0;0;0
Municipio;CELORICO DE BASTO;//;//;0;0;0;0
Municipio;CINFAES;8520;,,,;3890;2175;;3033
Municipio;FELGUEIRAS;234966;243300;278830;190447;317608;317608
Municipio;LOUSADA;22845;24493;44420;40146;43091;43091
Municipio;MARCO DE CANAVESES;13249;25830;32060;53150;15200;15200
Municipio;PACOS DE FERREIRA;,,,;,,,;;600;0;0
Municipio;PENAFIEL;3100;2142;2180;688;;1434
Municipio;RESENDE;24036;23426;35636;17107;27716;27716
Municipio;ALIJO;,,,;400;1196;4104;1515;1515
Municipio;ARMAMAR;0;,,,;0;0;;0
Municipio;CARRAZEDA DE ANSIAES;//;//;;0;;0
Municipio;FREIXO DE ESPADA A CINTA;0;,,,;0;0;0;0
Municipio;LAMEGO;33078;25537;16390;;20495;20495
Municipio;MESAO FRIO;17200;20520;17600;16110;11945;11945
Municipio;MOIMENTA DA BEIRA;,,,;//;;;;
Municipio;MURCA;//;//;0;0;0;0
Municipio;PENEDONO;//;//;0;0;;0
Municipio;PESO DA REGUA;0;,,,;;;;
Municipio;SABROSA;,,,;//;;0;;0
Municipio;SANTA MARTA DE PENAGUIAO;//;//;0;0;0;0
Municipio;SAO JOAO DA PESQUEIRA;,,,;105000;;;;
Municipio;SERNANCELHE;//;//;;0;0;0
Municipio;TABUACO;//;//;0;0;0;0
Municipio;TAROUCA;//;//;0;0;0;0
Municipio;TORRE DE MONCORVO;,,,;920;1037;8300;1950;1950
Municipio;VILA NOVA DE FOZ COA;//;//;;0;0;0
Municipio;VILA REAL;13333;3880;5259;52340;43331;43331
Municipio;ALFANDEGA DA FE;//;//;0;0;;0
Municipio;BRAGANCA;14960;16901;;16995;;16995
Municipio;MACEDO DE CAVALEIROS;//;//;0;;;0
Municipio;MIRANDA DO DOURO;//;//;0;0;0;0
Municipio;MIRANDELA;0;1547;;1200;0;0
Municipio;MOGADOURO;0;,,,;;0;0;0
Municipio;VILA FLOR;1400;1000;3600;3000;3300;3300
Municipio;VIMIOSO;6180;,,,;8800;13116;;10958
Municipio;VINHAIS;1917;1393;1295;;5955;5955
Municipio;ALCOBACA;217381;88516;61842;78801;33112;33112
Municipio;ALENQUER;7282;11270;30950;26890;24200;24200
Municipio;ARRUDA DOS VINHOS;17844;,,,;18100;25456;;21778
Municipio;BOMBARRAL;,,,;1000;0;2000;;1000
Municipio;CADAVAL;7600;,,,;;4180;5500;5500
Municipio;CALDAS DA RAINHA;3940;47052;41090;33673;32483;32483
Municipio;LOURINHA;580;,,,;2884;;4030;4030
Municipio;NAZARE;,,,;,,,;;14716;11369;11369
Municipio;OBIDOS;,,,;,,,;1857;;;1857
Municipio;PENICHE;4610;13935;29632;11140;;20386
Municipio;SOBRAL DE MONTE AGRACO;1802;1520;3408;5000;;4204
Municipio;TORRES VEDRAS;45805;43221;47962;64448;82212;82212
Municipio;AGUEDA;1792;1830;;13339;15482;15482
Municipio;ALBERGARIA-A-VELHA;4375;1638;3578;17723;14168;14168
Municipio;ANADIA;30648;40816;33656;;4410;4410
Municipio;AVEIRO;55364;50138;65068;171990;144040;144040
Municipio;ESTARREJA;44455;39444;56263;44322;40353;40353
Municipio;ILHAVO;,,,;//;31674;31106;38022;38022
Municipio;MURTOSA;,,,;//;0;0;0;0
Municipio;OLIVEIRA DO BAIRRO;959;1388;2023;;9839;9839
Municipio;OVAR;390;3917;4700;12810;15177;15177
Municipio;SEVER DO VOUGA;,,,;,,,;0;7719;;3860
Municipio;VAGOS;,,,;,,,;;;;
Municipio;ARGANIL;27976;,,,;42175;21650;;31913
Municipio;CANTANHEDE;32042;13527;46528;21243;28324;28324
Municipio;COIMBRA;222707;268215;391238;444882;1104963;1104963
Municipio;CONDEIXA-A-NOVA;,,,;//;;0;;0
Municipio;FIGUEIRA DA FOZ;98378;96693;89236;37889;60687;60687
Municipio;GOIS;,,,;//;0;0;8570;8570
Municipio;LOUSA;7350;8553;10720;19090;12985;12985
Municipio;MEALHADA;,,,;,,,;1162;2379;11366;11366
Municipio;MIRA;0;,,,;0;0;;0
Municipio;MIRANDA DO CORVO;0;,,,;610;5934;11011;11011
Municipio;MONTEMOR-O-VELHO;30505;,,,;14372;52757;41363;41363
Municipio;MORTAGUA;1303;1708;24523;;;24523
Municipio;OLIVEIRA DO HOSPITAL;1367;1280;2110;5730;;3920
Municipio;PAMPILHOSA DA SERRA;,,,;,,,;0;0;;0
Municipio;PENACOVA;//;//;;68;;68
Municipio;PENELA;//;//;0;0;;0
Municipio;SOURE;,,,;,,,;;;;
Municipio;TABUA;10228;20958;44774;38763;15634;15634
Municipio;VILA NOVA DE POIARES;//;//;0;0;0;0
Municipio;ALVAIAZERE;,,,;3700;;;;
Municipio;ANSIAO;0;,,,;;5570;;5570
Municipio;BATALHA;46112;,,,;4623;9250;7474;7474
Municipio;CASTANHEIRA DE PÊRA;,,,;,,,;0;;;0
Municipio;FIGUEIRO DOS VINHOS;13996;14462;6854;13075;17176;17176
Municipio;LEIRIA;27716;31358;139839;120125;106105;106105
Municipio;MARINHA GRANDE;481;,,,;30904;1703;1627;1627
Municipio;PEDROGAO GRANDE;//;//;0;;;0
Municipio;POMBAL;143886;77328;90416;95966;1765;1765
Municipio;PORTO DE MOS;136069;,,,;160659;9491;;85075
Municipio;AGUIAR DA BEIRA;,,,;//;;;;
Municipio;CARREGAL DO SAL;,,,;,,,;;535;;535
Municipio;CASTRO DAIRE;3561;2001;1428;;741;741
Municipio;MANGUALDE;,,,;//;;5035;5829;5829
Municipio;NELAS;30608;200;;1449;684;684
Municipio;OLIVEIRA DE FRADES;,,,;,,,;0;27502;17400;17400
Municipio;PENALVA DO CASTELO;9979;15866;16350;14280;14650;14650
Municipio;SANTA COMBA DAO;0;,,,;;;1921;1921
Municipio;SAO PEDRO DO SUL;,,,;//;;5426;2450;2450
Municipio;SATAO;//;//;;0;;0
Municipio;TONDELA;43189;35427;27977;54251;44870;44870
Municipio;VILA NOVA DE PAIVA;//;//;;0;;0
Municipio;VISEU;297143;826550;1136295;1205435;997530;997530
Municipio;VOUZELA;32559;,,,;23128;19258;;21193
Municipio;CASTELO BRANCO;14557;,,,;12123;13428;17280;17280
Municipio;IDANHA-A-NOVA;0;,,,;5000;;;5000
Municipio;OLEIROS;//;//;0;0;0;0
Municipio;PENAMACOR;//;//;0;;;0
Municipio;PROENCA-A-NOVA;//;//;0;1300;2585;2585
Municipio;VILA VELHA DE RODAO;1468;1807;1236;1342;834;834
Municipio;ABRANTES;1713;7491;4534;7959;3253;3253
Municipio;ALCANENA;4529;11614;8564;10653;14228;14228
Municipio;CONSTANCIA;10950;12050;0;14500;13580;13580
Municipio;ENTRONCAMENTO;28865;22698;38364;20996;40932;40932
Municipio;FERREIRA DO ZÊZERE;10881;12962;8908;8351;;8630
Municipio;MACAO;//;//;0;;;0
Municipio;OUREM;23454;43759;51420;45346;31472;31472
Municipio;SARDOAL;//;//;0;4699;5074;5074
Municipio;SERTA;,,,;,,,;;;;
Municipio;TOMAR;,,,;,,,;;1805;10824;10824
Municipio;TORRES NOVAS;1209;2046;1211;2257;3959;3959
Municipio;VILA DE REI;//;//;0;0;0;0
Municipio;VILA NOVA DA BARQUINHA;,,,;,,,;;2272;2416;2416
Municipio;ALMEIDA;//;//;0;0;;0
Municipio;BELMONTE;1240;53500;25215;19050;31550;31550
Municipio;CELORICO DA BEIRA;//;//;0;5329;;2665
Municipio;COVILHA;3084;2515;3637;11125;5212;5212
Municipio;FIGUEIRA DE CASTELO RODRIGO;//;//;0;;;0
Municipio;FORNOS DE ALGODRES;,,,;//;;;;
Municipio;FUNDAO;239304;,,,;199139;199118;;199129
Municipio;GOUVEIA;,,,;,,,;;3650;;3650
Municipio;GUARDA;22886;21300;;74603;47321;47321
Municipio;MANTEIGAS;14757;,,,;20336;16929;;18633
Municipio;MÊDA;//;//;0;;;0
Municipio;PINHEL;1142;,,,;;9170;;9170
Municipio;SABUGAL;0;,,,;0;7180;6052;6052
