count(CP_AlfaPendular);count(CP_Intercidades);count(CP_Regional);count(CP_Urbanos_Coimbra);count(CP_Urbanos_Lisboa);count(CP_Urbanos_Porto);Dicofre;Freguesia
0;0;2;0;0;0;140608;Vale da Pedra
1;1;1;0;0;0;80508;Uniao das freguesias de Faro (Se e Sao Pedro)
0;0;1;0;0;0;160217;Vila Praia de Ancora
0;0;2;0;0;0;160222;Uniao das freguesias de Caminha (Matriz) e Vilarelho
0;0;0;0;0;1;130613;Sao Pedro Fins
0;0;0;0;0;1;130408;Rio Tinto
0;0;0;0;0;1;131103;Bustelo
0;0;1;0;0;0;180901;Canas de Senhorim
0;0;2;0;0;0;91419;Vila Nova de Foz Coa
0;0;2;0;0;0;80708;Sao Goncalo de Lagos
0;0;1;0;0;0;10317;Uniao das freguesias de Arcos e Mogofores
0;0;1;0;0;0;180204;Oliveira do Conde
0;0;0;0;3;0;150410;Uniao das freguesias de Barreiro e Lavradio
0;0;1;0;0;0;160812;Sao Pedro da Torre
0;0;3;0;0;0;142002;Praia do Ribatejo
0;0;0;0;0;1;31204;Bairro
0;0;1;0;0;0;120607;Uniao das freguesias de Crato e Martires, Flor da Rosa e Vale do Peso
0;0;1;0;0;1;11503;Esmoriz
0;1;1;0;0;0;20302;Vila Nova da Baronia
0;0;1;0;0;0;50203;Benquerencas
0;0;0;0;2;0;110507;Uniao das freguesias de Carcavelos e Parede
0;0;1;0;0;0;161016;Uniao das freguesias de Campos e Vila Mea
0;1;0;0;0;0;70605;Santiago do Escoural
0;0;1;0;0;2;131503;Ermesinde
0;0;1;0;0;0;141625;Vale de Santarem
0;1;1;1;0;0;61506;Granja do Ulmeiro
0;0;0;0;1;0;110608;Benfica
1;1;1;0;0;0;80809;Loule (Sao Sebastiao)
0;0;1;0;0;0;141634;Uniao das freguesias de Sao Vicente do Paul e Vale de Figueira
0;0;1;0;0;0;130215;Santa Marinha do Zezere
0;0;1;0;2;0;111126;Uniao das freguesias de Queluz e Belas
0;0;1;0;0;0;160820;Uniao das freguesias de Valenca, Cristelo Covo e Arao
0;1;1;0;0;0;140124;Uniao das freguesias de Sao Miguel do Rio Torto e Rossio ao Sul do Tejo
0;0;0;0;0;1;10809;Uniao das freguesias de Canelas e Fermela
1;1;1;1;0;0;60337;Uniao das freguesias de Sao Martinho de Arvore e Lamarosa
0;0;1;0;0;0;140803;Santa Margarida da Coutada
0;1;1;0;1;0;110639;Sao Domingos de Benfica
0;0;1;0;0;0;51103;Sarnadas de Rodao
0;0;1;0;0;0;121101;Assumar
0;1;1;0;0;0;50205;Castelo Branco
0;0;0;0;0;1;30216;Cambeses
0;0;0;0;0;1;31256;Uniao das freguesias de Lemenhe, Mouquim e Jesufrei
0;0;0;0;0;1;11502;Cortegaca
0;0;2;0;0;0;141307;Ortiga
0;0;1;0;0;0;90711;Casal de Cinza
0;0;0;0;1;0;111415;Uniao das freguesias de Povoa de Santa Iria e Forte da Casa
0;0;1;0;0;1;131025;Paredes
0;0;1;0;0;0;170813;Uniao das freguesias de Galafura e Covelinhas
0;1;2;0;0;0;50434;Uniao das freguesias de Fundao, Valverde, Donas, Aldeia de Joanes e Aldeia Nova do Cabo
0;0;3;0;0;0;101519;Uniao das freguesias de Santiago e Sao Simao de Litem e Albergaria dos Doze
0;0;1;0;0;0;91411;Numao
0;0;1;0;0;0;11404;Oliveira do Bairro
0;0;2;0;0;0;81412;Uniao das freguesias de Tavira (Santa Maria e Santiago)
0;0;1;0;0;0;90751;Vila Fernando
1;1;2;0;0;2;131730;Uniao das freguesias de Santa Marinha e Sao Pedro da Afurada
0;0;1;1;0;0;61009;Santo Varao
0;0;1;0;0;0;141201;Azinhaga
0;0;1;0;0;0;120102;Chancelaria
0;0;1;0;0;0;160215;Seixas
0;1;0;0;0;0;71201;Vendas Novas
0;1;0;0;0;0;70525;Uniao das freguesias de Nossa Senhora da Tourega e Nossa Senhora de Guadalupe
0;0;1;0;0;0;50324;Tortosendo
0;0;0;0;4;0;111014;Uniao das freguesias de Oeiras e Sao Juliao da Barra, Paco de Arcos e Caxias
0;1;1;0;0;0;150506;Uniao das freguesias de Grandola e Santa Margarida da Serra
0;0;1;0;0;0;30202;Aborim
0;1;1;0;0;0;50335;Uniao das freguesias de Covilha e Canhoso
0;0;1;0;0;0;120706;Santa Eulalia
0;2;0;0;0;0;150711;Uniao das freguesias de Pegoes
0;0;0;0;0;1;31254;Uniao das freguesias de Esmeriz e Cabecudos
0;0;1;0;0;0;160905;Areosa
0;0;1;0;0;1;130705;Constance
0;0;1;0;0;0;91113;Cerdeira
0;1;2;0;0;0;180811;Uniao das freguesias de Mortagua, Vale de Remigio, Cortegaca e Almaca
0;0;0;0;0;1;130603;Folgosa
0;0;0;0;0;1;131709;Madalena
0;0;1;0;0;1;131139;Penafiel
0;0;0;0;2;0;110728;Uniao das freguesias de Santa Iria de Azoia, Sao Joao da Talha e Bobadela
0;0;1;0;0;0;180908;Lapa do Lobo
0;0;1;0;0;0;161019;Uniao das freguesias de Vila Nova de Cerveira e Lovelhe
0;0;0;0;0;1;11504;Maceda
0;0;1;0;0;0;130737;Paredes de Viadores e Manhuncelos
0;1;1;0;0;1;11509;Uniao das freguesias de Ovar, Sao Joao, Arada e Sao Vicente de Pereira Jusa
0;0;0;0;1;0;111012;Uniao das freguesias de Alges, Linda-a-Velha e Cruz Quebrada-Dafundo
0;0;1;0;0;0;100617;Uniao das freguesias de Caldas da Rainha - Nossa Senhora do Populo, Coto e Sao Gregorio
0;0;0;0;1;0;110610;Campolide
0;0;1;0;0;1;131717;Sao Felix da Marinha
0;0;1;0;0;0;140115;Tramagal
0;0;0;0;0;1;30363;Uniao das freguesias de Arentim e Cunha
1;1;1;0;0;0;141002;Nossa Senhora de Fatima
0;0;1;0;0;0;160938;Vila de Punhe
0;0;1;0;0;0;180606;Espinho
0;0;1;0;0;0;90207;Castelo Bom
1;1;1;0;0;2;31260;Uniao das freguesias de Vila Nova de Famalicao e Calendario
0;1;1;0;0;0;180601;Abrunhosa-a-Velha
0;0;1;0;0;0;51101;Fratel
1;1;1;0;0;0;101509;Pombal
0;0;0;0;2;0;111513;Aguas Livres
0;0;0;0;0;2;131701;Arcozelo
0;1;1;0;0;0;11109;Uniao das freguesias da Mealhada, Ventosa do Bairro e Antes
0;0;2;0;0;0;61509;Soure
0;0;1;0;0;1;130504;Caide de Rei
0;0;1;0;0;0;90209;Freineda
0;1;1;0;0;0;181410;Uniao das freguesias de Ovoa e Vimieiro
0;0;0;0;1;0;150607;Uniao das freguesias de Baixa da Banheira e Vale da Amoreira
0;0;1;0;0;0;10508;Oliveirinha
0;1;1;0;0;0;30209;Arcozelo
0;0;0;0;2;0;110621;Marvila
0;0;0;0;0;1;131501;Alfena
0;0;0;0;0;1;131008;Cete
0;0;0;0;0;1;10704;Paramos
0;0;1;0;0;0;170109;Pinhao
0;0;1;0;0;0;90302;Baracal
0;0;1;0;0;0;30279;Silva
1;1;0;0;0;2;30871;Urgezes
0;0;0;0;2;0;111102;Algueirao-Mem Martins
0;0;1;1;0;0;61015;Uniao das freguesias de Abrunheira, Verride e Vila Nova da Barca
0;0;1;0;0;0;120201;Assuncao
0;1;1;0;0;0;142104;Caxarias
0;0;0;0;0;1;131704;Canidelo
0;0;0;0;0;1;10502;Cacia
0;0;0;0;2;0;151210;Uniao das freguesias de Setubal (Sao Juliao, Nossa Senhora da Anunciada e Santa Maria da Graca)
1;1;1;0;1;0;110662;Parque das Nacoes
0;0;1;0;0;0;142113;Seica
0;0;1;0;1;0;110304;Azambuja
0;0;0;0;0;2;30367;Uniao das freguesias de Celeiros, Aveleda e Vimieiro
0;0;0;0;2;0;150603;Moita
0;0;2;0;0;2;130147;Vila Mea
0;0;0;0;0;1;130601;Aguas Santas
1;1;0;0;1;0;150803;Pinhal Novo
0;0;1;0;0;0;181406;Sao Joao de Areias
0;0;1;0;1;0;111516;Mina de Agua
0;0;1;0;0;0;80804;Boliqueime
0;0;1;1;0;0;61011;Tentugal
0;0;1;0;0;0;170407;Vila Marim
0;0;1;0;0;0;140106;Mouriscas
1;1;1;0;0;0;141633;Uniao das freguesias da cidade de Santarem
0;0;0;0;0;1;10705;Silvalde
0;1;1;0;0;0;90505;Fornos de Algodres
0;0;1;0;0;0;160902;Alvaraes
0;0;1;0;0;0;171002;Covas do Douro
0;0;1;0;0;0;30299;Uniao das freguesias de Gamil e Midoes
0;0;0;0;2;0;111414;Uniao das freguesias de Castanheira do Ribatejo e Cachoeiras
0;0;1;0;0;0;140903;Sao Jose da Lamarosa
0;1;1;0;0;1;10808;Uniao das freguesias de Beduido e Veiros
0;0;1;0;0;0;40322;Uniao das freguesias de Castanheiro do Norte e Ribalonga
0;0;2;0;0;0;10318;Uniao das freguesias de Tamengos, Aguim e Ois do Bairro
0;0;0;0;0;1;30381;Uniao das freguesias de Vilaca e Fradelos
0;0;1;0;0;0;50402;Alcaria
0;0;0;0;1;0;110661;Misericordia
0;0;1;0;0;0;81003;Olhao
0;0;2;0;0;0;121308;Uniao das freguesias de Ponte de Sor, Tramaga e Vale de Acor
0;0;0;0;2;0;111128;Uniao das freguesias de Sintra (Santa Maria e Sao Miguel, Sao Martinho e Sao Pedro de Penaferrim)
0;0;0;0;1;0;110726;Uniao das freguesias de Moscavide e Portela
0;0;0;0;0;2;131726;Uniao das freguesias de Gulpilhares e Valadares
0;0;0;0;0;1;131115;Irivo
0;0;1;0;0;0;90229;Vilar Formoso
1;1;1;0;0;1;31227;Nine
0;0;2;0;0;0;50413;Castelo Novo
0;1;1;0;0;0;20701;Cuba
0;0;1;0;1;0;111122;Uniao das freguesias de Agualva e Mira-Sintra
0;0;1;0;0;0;50226;Uniao das freguesias de Cebolais de Cima e Retaxo
0;0;0;0;0;1;10806;Salreu
0;1;1;0;0;0;180619;Uniao das freguesias de Mangualde, Mesquitela e Cunha Alta
0;0;3;0;0;0;141809;Paialvo
0;0;1;0;0;1;130736;Marco
0;0;1;0;0;0;101508;Pelariga
0;0;1;0;0;0;90765;Uniao de freguesias de Rochoso e Monte Margarida
0;0;1;0;0;0;180804;Espinho
0;0;0;0;1;0;111412;Uniao das freguesias de Alhandra, Sao Joao dos Montes e Calhandriz
0;0;0;0;0;2;30828;Lordelo
0;0;0;0;0;0;150804;Quinta do Anjo
0;0;0;0;0;2;131505;Valongo
0;2;0;0;0;0;150806;Uniao das freguesias de Poceirao e Marateca
1;1;0;0;0;1;30364;Uniao das freguesias de Braga (Maximinos, Se e Cividade)
0;0;0;0;0;1;30371;Uniao das freguesias de Ferreiros e Gondizalves
0;0;1;0;0;0;81601;Vila Nova de Cacela
0;1;2;0;0;0;51104;Vila Velha de Rodao
0;0;1;0;0;0;141821;Uniao das freguesias de Tomar (Sao Joao Baptista) e Santa Maria dos Olivais
0;1;1;0;0;0;20520;Uniao das freguesias de Beja (Salvador e Santa Maria da Feira)
0;0;3;0;0;0;141819;Uniao das freguesias de Madalena e Beselga
0;0;0;0;1;0;110665;Santa Maria Maior
0;0;1;0;0;0;141919;Uniao das freguesias de Olaia e Paco
0;0;0;0;0;1;130513;Meinedo
