count(Estacao);ID_Localizacao;Freguesia
1;110726;Moscavide e Portela
5;130408;Rio Tinto
2;131616;Mindelo
1;110608;Benfica
4;110618;Lumiar
3;110654;Alvalade
3;130812;Matosinhos e Leca da Palmeira
3;110639;Sao Domingos de Benfica
4;131727;Mafamude e Vilar do Paraíso
1;131315;Povoa de Varzim, Beiriz e Argivai
1;130616;Vila Nova da Telha
1;110664;Santa Clara
4;110656;Arroios
2;111603;odivelas
3;131617;Modivas
7;130811;Custoias, Leca do Balio e Guifoes
3;130619;Cidade da Maia
5;130609;Moreira
1;110610;Campolide
1;131604;Azurara
2;110611;Carnide
2;110621;Marvila
3;110633;olivais
2;110662;Parque das Nacoes
2;131202;Bonfim
4;150315;Laranjeiro e Feijo
3;131211;Ramalde
2;110666;Santo Antonio
1;110661;Misericordia
9;150312;Almada, Cova da Piedade, Pragal e Cacilhas
6;110665;Santa Maria Maior
3;130618;Castelo da Maia
4;150313;Caparica e Trafaria
1;110607;Beato
1;111514;Encosta do Sol
2;110655;Areeiro
9;131217;Cedofeita, Santo Ildefonso, Sé, Miragaia, Sao Nicolau e Vitoria
4;131210;Paranhos
2;131602;arvore
2;151005;Corroios
5;130814;Sao Mamede de Infesta e Senhora da Hora
1;130412;Baguim do Monte (Rio Tinto)
5;131203;Campanha
1;131630;Vilar de Pinheiro
5;131628;Vila do Conde
1;130413;Fanzeres e Sao Pedro da Cova
2;111515;Falagueira-Venda Nova
5;110657;Avenidas Novas
1;110663;Penha de Franca
