Praia;Location_ID;Freguesias;Municipio;Distrito
Praia da Foz do Minho;160224;Moledo e Cristelo;CAMINHA;VIANA DO CASTELO
Praia do Camarido;160224;Moledo e Cristelo;CAMINHA;VIANA DO CASTELO
Praia de Moledo;160224;Moledo e Cristelo;CAMINHA;VIANA DO CASTELO
Praia de Vila Praia de Ancora;160217;Vila Praia de Ancora;CAMINHA;VIANA DO CASTELO
Praia da Duna do Caldeirao;160201;Ancora;CAMINHA;VIANA DO CASTELO
Praia do Forte do Cao;160201;Ancora;CAMINHA;VIANA DO CASTELO
Praia da Gelfa;160901;Afife;VIANA DO CASTELO;VIANA DO CASTELO
Praia da Insua;160901;Afife;VIANA DO CASTELO;VIANA DO CASTELO
Praia de Afife;160901;Afife;VIANA DO CASTELO;VIANA DO CASTELO
Praia da Arda;160901;Afife;VIANA DO CASTELO;VIANA DO CASTELO
Praia de Paco;160908;Carreco;VIANA DO CASTELO;VIANA DO CASTELO
Praia de Fornelos e Promontorio de Montedor;160908;Carreco;VIANA DO CASTELO;VIANA DO CASTELO
Praia de Carreco;160908;Carreco;VIANA DO CASTELO;VIANA DO CASTELO
Praia do Camarido;160908;Carreco;VIANA DO CASTELO;VIANA DO CASTELO
Praia do Lumiar;160908;Carreco;VIANA DO CASTELO;VIANA DO CASTELO
Praia do Canto Marinho;160908;Carreco;VIANA DO CASTELO;VIANA DO CASTELO
Praia do Marco Branco;160908;Carreco;VIANA DO CASTELO;VIANA DO CASTELO
Praia do Porto de Vinha;160905;Areosa;VIANA DO CASTELO;VIANA DO CASTELO
Praia do Norte;160948;Viana do Castelo (Santa Maria Maior e Monserrate) e Meadela;VIANA DO CASTELO;VIANA DO CASTELO
Praia do Coral;160948;Viana do Castelo (Santa Maria Maior e Monserrate) e Meadela;VIANA DO CASTELO;VIANA DO CASTELO
Praia do Cabedelo;160911;Darque;VIANA DO CASTELO;VIANA DO CASTELO
Praia de Luzia Mar;160911;Darque;VIANA DO CASTELO;VIANA DO CASTELO
Praia do Rodanho;160904;Anha;VIANA DO CASTELO;VIANA DO CASTELO
