Designacao; Valor mediano das vendas por m2 de alojamentos familiares
ARCOS DE VALDEVEZ;769
CAMINHA;980
MELGACO;454
MONCAO;817
PAREDES DE COURA;392
PONTE DA BARCA;660
PONTE DE LIMA;1,003
VALENCA;683
VIANA DO CASTELO;1,011
VILA NOVA DE CERVEIRA;717
AMARES;720
BARCELOS;897
BRAGA;1,024
ESPOSENDE;1,224
TERRAS DE BOURO;670
VILA VERDE;805
CABECEIRAS DE BASTO;699
FAFE;766
GUIMARAES;964
MONDIM DE BASTO;370
POVOA DE LANHOSO;794
VIEIRA DO MINHO;571
VILA NOVA DE FAMALICAO;947
VIZELA;868
AROUCA;663
ESPINHO;1,344
GONDOMAR;1,125
MAIA;1,283
MATOSINHOS;1,637
OLIVEIRA DE AZEMEIS;805
PAREDES;849
PORTO;2,142
POVOA DE VARZIM;1,316
SANTA MARIA DA FEIRA;895
SANTO TIRSO;838
SAO JOAO DA MADEIRA;867
TROFA;900
VALE DE CAMBRA;747
VALONGO;1,128
VILA DO CONDE;1,246
VILA NOVA DE GAIA;1,240
BOTICAS;462
CHAVES;806
MONTALEGRE;587
RIBEIRA DE PENA;605
VALPACOS;440
VILA POUCA DE AGUIAR;528
AMARANTE;744
BAIAO;750
CASTELO DE PAIVA;603
CELORICO DE BASTO;672
CINFAES;468
FELGUEIRAS;755
LOUSADA;725
MARCO DE CANAVESES;748
PACOS DE FERREIRA;791
PENAFIEL;813
RESENDE;458
ALIJO;400
ARMAMAR;358
CARRAZEDA DE ANSIAES;267
FREIXO DE ESPADA A CINTA;272
LAMEGO;661
MESAO FRIO;514
MOIMENTA DA BEIRA;386
MURCA;305
PENEDONO;188
PESO DA REGUA;677
SABROSA;400
SANTA MARTA DE PENAGUIAO;479
SAO JOAO DA PESQUEIRA;336
SERNANCELHE;357
TABUACO;438
TAROUCA;577
TORRE DE MONCORVO;446
VILA NOVA DE FOZ COA;248
VILA REAL;946
ALFANDEGA DA FE;506
BRAGANCA;764
MACEDO DE CAVALEIROS;577
MIRANDA DO DOURO;399
MIRANDELA;714
MOGADOURO;374
VILA FLOR;258
VIMIOSO;294
VINHAIS;352
ALCOBACA;836
ALENQUER;905
ARRUDA DOS VINHOS;965
BOMBARRAL;780
CADAVAL;609
CALDAS DA RAINHA;1,006
LOURINHA;1,058
NAZARE;1,358
OBIDOS;1,230
PENICHE;1,131
SOBRAL DE MONTE AGRACO;964
TORRES VEDRAS;1,111
AGUEDA;755
ALBERGARIA-A-VELHA;800
ANADIA;634
AVEIRO;1,283
ESTARREJA;827
ILHAVO;1,116
MURTOSA;840
OLIVEIRA DO BAIRRO;731
OVAR;1,045
SEVER DO VOUGA;676
VAGOS;886
ARGANIL;477
CANTANHEDE;748
COIMBRA;1,321
CONDEIXA-A-NOVA;938
FIGUEIRA DA FOZ;1,034
GOIS;348
LOUSA;712
MEALHADA;661
MIRA;962
MIRANDA DO CORVO;553
MONTEMOR-O-VELHO;750
MORTAGUA;424
OLIVEIRA DO HOSPITAL;584
PAMPILHOSA DA SERRA;248
PENACOVA;501
PENELA;593
SOURE;581
TABUA;586
VILA NOVA DE POIARES;568
ALVAIAZERE;442
ANSIAO;486
BATALHA;699
CASTANHEIRA DE PERA;596
FIGUEIRO DOS VINHOS;466
LEIRIA;1,026
MARINHA GRANDE;798
PEDROGAO GRANDE;491
POMBAL;778
PORTO DE MOS;615
AGUIAR DA BEIRA;352
