Territorios;MUNICIPIO;Total - 2019;Aterro - 2019;Valorizacao energetica - 2019;Valorizacao organica - 2019;Reciclagem - 2019
Municipio;ARCOS DE VALDEVEZ;8,383;7,506;0;84;793
Municipio;CAMINHA;11,165;10,308;0;0;857
Municipio;MELGACO;3,641;3,146;0;0;495
Municipio;MONCAO;7,611;6,877;0;0;734
Municipio;PAREDES DE COURA;3,103;2,788;0;0;315
Municipio;PONTE DA BARCA;4,538;4,133;0;36;368
Municipio;PONTE DE LIMA;14,883;13,087;0;252;1,544
Municipio;VALENCA;9,038;8,41;0;0;628
Municipio;VIANA DO CASTELO;40,594;34,314;0;772;5,508
Municipio;VILA NOVA DE CERVEIRA;4,68;4,139;0;0;541
Municipio;AMARES;7,599;3,63;0;3,124;845
Municipio;BARCELOS;51,12;46,591;0;446;4,083
Municipio;BRAGA;85,003;39,574;0;34,294;11,135
Municipio;ESPOSENDE;21,47;19,365;0;276;1,828
Municipio;TERRAS DE BOURO;2,842;1,736;0;706;401
Municipio;VILA VERDE;16,186;7,464;0;6,765;1,957
Municipio;CABECEIRAS DE BASTO;5,838;5,106;0;0;732
Municipio;FAFE;18,556;13,823;6;2,225;2,503
Municipio;GUIMARAES;68,196;17,097;122;42,073;8,905
Municipio;MONDIM DE BASTO;2,475;2,149;0;0;326
Municipio;POVOA DE LANHOSO;8,707;4,17;0;3,448;1,088
Municipio;VIEIRA DO MINHO;4,34;3,061;0;936;344
Municipio;VILA NOVA DE FAMALICAO;52,689;12,6;92;31,893;8,104
Municipio;VIZELA;10,037;2,28;19;6,477;1,261
Municipio;AROUCA;6,55;1,96;4;3,846;739
Municipio;ESPINHO;17,6;630;12,953;1,55;2,466
Municipio;GONDOMAR;77,766;3,725;56,275;6,499;11,267
Municipio;MAIA;63,927;4,54;39,348;6,257;13,781
Municipio;MATOSINHOS;97,186;4,885;66,044;10,334;15,923
Municipio;OLIVEIRA DE AZEMEIS;23,856;6,999;14;14,519;2,324
Municipio;PAREDES;37,012;34,785;0;0;2,227
Municipio;PORTO;149,656;4,993;107,116;12,788;24,759
Municipio;POVOA DE VARZIM;37,808;1,509;26,57;3,524;6,205
Municipio;SANTA MARIA DA FEIRA;52,601;38,15;1,502;6,49;6,459
Municipio;SANTO TIRSO;31,766;7,664;61;21,011;3,03
Municipio;SAO JOAO DA MADEIRA;10,319;3,397;12;5,545;1,365
Municipio;TROFA;18,195;4,139;36;12,269;1,751
Municipio;VALE DE CAMBRA;8,839;2,767;5;5,199;868
Municipio;VALONGO;44,923;2,626;29,507;4,848;7,942
Municipio;VILA DO CONDE;47,666;3,17;31,792;5,472;7,231
Municipio;VILA NOVA DE GAIA;147,622;121,489;2,971;12,723;10,438
Municipio;BOTICAS;2,319;2,041;0;0;278
Municipio;CHAVES;16,845;15,459;0;0;1,386
Municipio;MONTALEGRE;3,828;3,59;0;0;238
Municipio;RIBEIRA DE PENA;2,215;1,949;0;0;266
Municipio;VALPACOS;5,676;5,148;0;0;528
Municipio;VILA POUCA DE AGUIAR;4,56;4,091;0;0;469
Municipio;AMARANTE;20,213;17,989;0;0;2,224
Municipio;BAIAO;7,033;6,473;0;0;560
Municipio;CASTELO DE PAIVA;5,594;5,286;0;0;308
Municipio;CELORICO DE BASTO;5,542;5,086;0;0;455
Municipio;CINFAES;5,988;5,674;0;0;314
Municipio;FELGUEIRAS;24,388;22,927;0;0;1,461
Municipio;LOUSADA;20,617;18,133;0;0;2,484
Municipio;MARCO DE CANAVESES;21,195;19,596;0;0;1,599
Municipio;PACOS DE FERREIRA;24,138;22,54;0;0;1,598
Municipio;PENAFIEL;29,827;27,684;0;0;2,143
Municipio;RESENDE;3,882;3,643;0;0;239
Municipio;ALIJO;5,067;4,904;0;0;163
Municipio;ARMAMAR;2,398;2,056;0;0;342
