Âmbito Geográfico;Territórios;Total;Público;Privado
Município;VOUZELA;0;0;0
Município;VIZELA;0;0;0
NUTS III;VISEU DÃO LAFÕES;7;4;3
Município;VISEU;7;4;3
Município;VINHAIS;0;0;0
Município;VIMIOSO;0;0;0
Município;VILA VIÇOSA;0;0;0
Município;VILA VERDE;0;0;0
Município;VILA VELHA DE RÓDÃO;0;0;0
Município;VILA REAL DE SANTO ANTÓNIO;0;0;0
Município;VILA REAL;5;5;0
Município;VILA POUCA DE AGUIAR;0;0;0
Município;VILA NOVA DE POIARES;0;0;0
Município;VILA NOVA DE PAIVA;0;0;0
Município;VILA NOVA DE GAIA;9;1;8
Município;VILA NOVA DE FOZ CÔA;0;0;0
Município;VILA NOVA DE FAMALICÃO;2;0;2
Município;VILA NOVA DE CERVEIRA;1;0;1
Município;VILA NOVA DA BARQUINHA;0;0;0
Município;VILA FRANCA DO CAMPO;0;0;0
Município;VILA FRANCA DE XIRA;0;0;0
Município;VILA FLOR;0;0;0
Município;VILA DO PORTO;0;0;0
Município;VILA DO CONDE;2;2;0
Município;VILA DO BISPO;0;0;0
Município;VILA DE REI;0;0;0
Município;VILA DA PRAIA DA VITÓRIA;0;0;0
Município;VIEIRA DO MINHO;0;0;0
Município;VIDIGUEIRA;0;0;0
Município;VIANA DO CASTELO;3;3;0
Município;VIANA DO ALENTEJO;0;0;0
Município;VENDAS NOVAS;0;0;0
Município;VELAS;0;0;0
Município;VALPAÇOS;0;0;0
Município;VALONGO;0;0;0
Município;VALENÇA;1;1;0
Município;VALE DE CAMBRA;0;0;0
Município;VAGOS;0;0;0
Município;TROFA;0;0;0
Município;TRANCOSO;0;0;0
Município;TORRES VEDRAS;0;0;0
Município;TORRES NOVAS;0;0;0
Município;TORRE DE MONCORVO;0;0;0
Município;TONDELA;0;0;0
Município;TOMAR;2;2;0
NUTS III;TERRAS DE TRÁS-OS-MONTES;5;5;0
Município;TERRAS DE BOURO;0;0;0
Município;TAVIRA;0;0;0
Município;TAROUCA;0;0;0
NUTS III;TÂMEGA E SOUSA;2;1;1
Município;TABUAÇO;0;0;0
Município;TÁBUA;0;0;0
Município;SOUSEL;0;0;0
Município;SOURE;0;0;0
Município;SOBRAL DE MONTE AGRAÇO;0;0;0
Município;SINTRA;1;1;0
Município;SINES;0;0;0
Município;SILVES;1;0;1
Município;SEVER DO VOUGA;0;0;0
Município;SETÚBAL;4;4;0
Município;SESIMBRA;0;0;0
Município;SERTÃ;0;0;0
Município;SERPA;0;0;0
Município;SERNANCELHE;0;0;0
Município;SEIXAL;0;0;0
Município;SEIA;1;1;0
Município;SÁTÃO;0;0;0
Município;SARDOAL;0;0;0
Município;SÃO VICENTE;0;0;0
Município;SÃO ROQUE DO PICO;0;0;0
Município;SÃO PEDRO DO SUL;0;0;0
Município;SÃO JOÃO DA PESQUEIRA;0;0;0
Município;SÃO JOÃO DA MADEIRA;0;0;0
Município;SÃO BRÁS DE ALPORTEL;0;0;0
Município;SANTO TIRSO;0;0;0
Município;SANTIAGO DO CACÉM;0;0;0
Município;SANTARÉM;5;4;1
Município;SANTANA;0;0;0
Município;SANTA MARTA DE PENAGUIÃO;0;0;0
Município;SANTA MARIA DA FEIRA;2;0;2
Município;SANTA CRUZ DAS FLORES;0;0;0
Município;SANTA CRUZ DA GRACIOSA;0;0;0
Município;SANTA CRUZ;0;0;0
Município;SANTA COMBA DÃO;0;0;0
Município;SALVATERRA DE MAGOS;0;0;0
Município;SABUGAL;0;0;0
Município;SABROSA;0;0;0
Município;RIO MAIOR;1;1;0
Município;RIBEIRA GRANDE;0;0;0
Município;RIBEIRA DE PENA;0;0;0
Município;RIBEIRA BRAVA;0;0;0
Município;RESENDE;0;0;0
Município;REGUENGOS DE MONSARAZ;0;0;0
NUTS III;REGIÃO DE LEIRIA;5;3;2
NUTS III;REGIÃO DE COIMBRA;19;17;2
NUTS III;REGIÃO DE AVEIRO;5;4;1
NUTS I;REGIÃO AUTÓNOMA DOS AÇORES;8;8;0
NUTS II;REGIÃO AUTÓNOMA DOS AÇORES;8;8;0
NUTS I;REGIÃO AUTÓNOMA DA MADEIRA;8;6;2
NUTS II;REGIÃO AUTÓNOMA DA MADEIRA;8;6;2
Município;REDONDO;0;0;0
Município;PROENÇA-A-NOVA;0;0;0
Município;POVOAÇÃO;0;0;0
Município;PÓVOA DE VARZIM;0;0;0
Município;PÓVOA DE LANHOSO;0;0;0
Município;PORTO SANTO;0;0;0
Município;PORTO MONIZ;0;0;0
Município;PORTO DE MÓS;0;0;0
Município;PORTO;39;18;21
Município;PORTIMÃO;2;1;1
Município;PORTEL;0;0;0
Município;PORTALEGRE;3;3;0
Município;PONTE DE SOR;0;0;0
Município;PONTE DE LIMA;3;1;2
Município;PONTE DA BARCA;0;0;0
Município;PONTA DO SOL;0;0;0
Município;PONTA DELGADA;5;5;0
Município;POMBAL;0;0;0
Município;PINHEL;0;0;0
Município;PESO DA RÉGUA;0;0;0
Município;PENICHE;1;1;0
Município;PENELA;0;0;0
Município;PENEDONO;0;0;0
Município;PENAMACOR;0;0;0
Município;PENALVA DO CASTELO;0;0;0
Município;PENAFIEL;1;0;1
Município;PENACOVA;0;0;0
Município;PEDRÓGÃO GRANDE;0;0;0
Município;PAREDES DE COURA;0;0;0
Município;PAREDES;2;0;2
Município;PAMPILHOSA DA SERRA;0;0;0
Município;PALMELA;0;0;0
Município;PAÇOS DE FERREIRA;0;0;0
Município;OVAR;0;0;0
Município;OURIQUE;0;0;0
