Link;Preço;Data de Recolha
https://www.imovirtual.com/pt/anuncio/apartamento-com-6-assoalhadas-no-paco-da-rainha-o-ponto-central-geo-ID15XCE.html#bf6bdf75c5;930000;22/05/2021
https://www.imovirtual.com/pt/anuncio/novo-e-com-vista-mar-ID15XCD.html#bf6bdf75c5;261000;22/05/2021
https://www.imovirtual.com/pt/anuncio/oferta-da-escritura-apartamento-t2-com-estacionamento-e-ID15V1R.html#bf6bdf75c5;179000;22/05/2021
https://www.imovirtual.com/pt/anuncio/oferta-da-escritura-e-registos-apartamento-t1-com-logra-ID15qC9.html#bf6bdf75c5;340000;22/05/2021
https://www.imovirtual.com/pt/anuncio/apartamento-t0-na-avenida-da-republica-6-3-ID1299w.html#bf6bdf75c5;355000;22/05/2021
https://www.imovirtual.com/pt/anuncio/t3-duplex-em-alcochete-am-lisboa-com-um-terraco-e-jacuz-ID15MuC.html#bf6bdf75c5;770000;22/05/2021
https://www.imovirtual.com/pt/anuncio/apartamento-t3-seixal-com-terraco-privativo-jacuzzi-e-ID15N1U.html#bf6bdf75c5;645000;22/05/2021
https://www.imovirtual.com/pt/anuncio/t1-com-varanda-republica-95-5-5-ID1299c.html#bf6bdf75c5;715000;22/05/2021
https://www.imovirtual.com/pt/anuncio/t2-duas-suites-paranhos-ID15yYz.html#bf6bdf75c5;310000;22/05/2021
https://www.imovirtual.com/pt/anuncio/oferta-da-escritura-apartamento-t3-com-estacionamento-e-ID15VdP.html#bf6bdf75c5;213000;22/05/2021
https://www.imovirtual.com/pt/anuncio/t3-c-terraco-de-743m2-em-cond-fechado-ID15VVt.html#bf6bdf75c5;445000;22/05/2021
https://www.imovirtual.com/pt/anuncio/apartamento-t3-remodelado-com-terraco-senhora-da-hora-ID15XCj.html#bf6bdf75c5;165000;22/05/2021
https://www.imovirtual.com/pt/anuncio/apartamento-t2-novo-casas-do-lago-com-varanda-ID15XCi.html#bf6bdf75c5;227000;22/05/2021
https://www.imovirtual.com/pt/anuncio/t3-faro-lux-garden-em-condominio-fechado-com-excelentes-ID15LF6.html#bf6bdf75c5;345000;22/05/2021
https://www.imovirtual.com/pt/anuncio/apartamento-t2-fraccao-1-ID13KRn.html#bf6bdf75c5;Preçosobconsulta;22/05/2021
https://www.imovirtual.com/pt/anuncio/apartamento-t2-com-estacionamento-3-2-ID1297I.html#bf6bdf75c5;810000;22/05/2021
